2018-06-11 12:19:23 [py.warnings] WARNING: /home/moma/Documents/spider/coupon_new/coupon/coupon/pipelines.py:18: ScrapyDeprecationWarning: Module `scrapy.log` has been deprecated, Scrapy now relies on the builtin Python library for logging. Read the updated logging entry in the documentation to learn more.
  from scrapy import log

2018-06-11 12:21:07 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006013367780282368, status code 404
2018-06-11 12:21:08 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006159114257518599, status code 429
2018-06-11 12:21:08 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1005995555263262721, status code 429
2018-06-11 12:21:08 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1005995365412343808, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006056244342165505, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006077565369380864, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006120615072403456, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006102282176475136, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006074825423671296, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006073808963489792, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006094538019139589, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006167350582939653, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006070179351203840, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006163740130193408, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006125183944536064, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006048255967457281, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006066094648516608, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006043339442020354, status code 429
2018-06-11 12:21:09 [getredirecturl] ERROR: HttpError on https://mobile.twitter.com/i/web/status/1006074221934661632, status code 429
